CompoundName,material_system,phase_route,MixerLine,bounds_scope,sample_count,Stage2_DryMixing_Duration_min,Stage2_DryMixing_Duration_max,Stage2_DryMixing_Duration_nominal,Stage4_WetMixing_Duration_min,Stage4_WetMixing_Duration_max,Stage4_WetMixing_Duration_nominal,Stage5_PID_Duration_min,Stage5_PID_Duration_max,Stage5_PID_Duration_nominal,Stage6_BottomMixing_Duration_min,Stage6_BottomMixing_Duration_max,Stage6_BottomMixing_Duration_nominal,Target_Temperature_min,Target_Temperature_max,Target_Temperature_nominal
M1-T26104---- 06 002,Silica,NoOilDry,ML09,EXACT_RECIPE_MIXER_ROUTE,96,105.0,125.0,115.0,0.0,0.0,0.0,28.0,66.25,56.0,62.0,77.25,73.0,165.0,165.0,165.0
M1-T26104---- 06 003,Silica,NoOilDry,ML09,EXACT_RECIPE_MIXER_ROUTE,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T33025W3-- 03 004,Silica,OilWet,ML07,EXACT_RECIPE_MIXER_ROUTE,9,59.0,59.0,59.0,42.4,60.6,49.0,55.4,65.2,59.0,91.4,101.0,100.0,165.0,165.0,165.0
M1-T33025W3-- 03 005,Silica,OilWet,ML07,EXACT_RECIPE_MIXER_ROUTE,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T33025W3-- 04 003,Silica,OilWet,ML09,EXACT_RECIPE_MIXER_ROUTE,1256,54.0,64.0,63.0,42.0,62.0,53.0,40.0,73.0,49.0,98.0,124.0,109.0,165.0,165.0,165.0
M1-T33025W3-- 04 004,Silica,OilWet,ML09,EXACT_RECIPE_MIXER_ROUTE,18,56.55,64.0,64.0,40.0,51.15,46.0,39.7,45.15,42.5,97.0,100.15,98.0,165.0,165.0,165.0
M1-T33025W3-- 04 005,Silica,OilWet,ML09,EXACT_RECIPE_MIXER_ROUTE,1107,53.0,64.0,54.0,47.0,62.7,56.0,25.0,45.0,30.0,89.0,112.0,99.0,165.0,165.0,165.0
M1-T33025W3-- 07 001,Silica,OilWet,MB03,EXACT_RECIPE_MIXER_ROUTE,7,54.0,77.3,64.0,35.0,44.0,38.0,65.3,72.7,69.0,93.3,113.5,95.0,165.0,165.0,165.0
M1-T33025W3-- 07 003,Silica,OilWet,MB03,EXACT_RECIPE_MIXER_ROUTE,13,53.6,54.4,54.0,45.6,58.0,51.0,26.6,30.8,30.0,102.0,105.0,103.0,165.0,165.0,165.0
M1-T33025XA-- 01 002,Silica,OilWet,ML09,EXACT_RECIPE_MIXER_ROUTE,5,53.0,53.0,53.0,59.2,62.6,60.0,27.2,30.8,28.0,110.2,112.0,111.0,165.0,165.0,165.0
