CompoundName,material_system,phase_route,system_route_branch,actual_kwh_per_ton,recommended_kwh_per_ton,predicted_baseline_kwh_per_ton,mooney_pred,mooney_lower,mooney_upper,recommendation_status
M1-T19327---- 01 003,Silica,OilWet,Silica_OilWet,187.32,187.32,187.32,29.82,27.46,32.17,NO_VALID_CANDIDATE
M1-B00460B--- 04 009,CarbonBlack,OilWet,CarbonBlack_OilWet,204.6,204.6,204.6,50.8,49.03,52.56,NO_VALID_CANDIDATE
M1-T10035B6-- 03 002,Silica,OilWet,Silica_OilWet,276.29,240.61,276.29,43.68,41.33,46.03,RECOMMENDED
M1-T10035B6-- 03 002,Silica,OilWet,Silica_OilWet,259.32,231.65,259.32,44.08,41.73,46.43,RECOMMENDED
M1-B00163---- 08 008,CarbonBlack,OilWet,CarbonBlack_OilWet,115.19,115.19,115.19,30.05,28.29,31.82,NO_VALID_CANDIDATE
M1-T19012W--- 01 001,Silica,OilWet,Silica_OilWet,195.21,195.21,195.21,99.31,96.96,101.66,NO_VALID_CANDIDATE
M1-T19012W--- 01 001,Silica,OilWet,Silica_OilWet,193.25,193.25,193.25,99.08,96.73,101.43,NO_VALID_CANDIDATE
M1-T19012W--- 01 001,Silica,OilWet,Silica_OilWet,190.04,190.04,190.04,106.14,103.79,108.49,NO_VALID_CANDIDATE
M1-T00011XV-- 03 004,Silica,OilWet,Silica_OilWet,251.75,251.75,251.75,41.44,39.09,43.8,NO_VALID_CANDIDATE
M1-R00037---- 12 001,CarbonBlack,OilWet,CarbonBlack_OilWet,139.1,139.1,139.1,56.45,54.69,58.22,NO_VALID_CANDIDATE
M1-R00037---- 12 001,CarbonBlack,OilWet,CarbonBlack_OilWet,141.6,141.6,141.6,56.02,54.26,57.79,NO_VALID_CANDIDATE
M1-R00037---- 12 001,CarbonBlack,OilWet,CarbonBlack_OilWet,141.8,141.8,141.8,55.98,54.21,57.74,NO_VALID_CANDIDATE
M1-T15215---- 08 005,Silica,NoOilDry,Silica_NoOilDry,206.86,206.86,206.86,67.83,65.48,70.18,NO_VALID_CANDIDATE
M1-T15215---- 08 005,Silica,NoOilDry,Silica_NoOilDry,193.64,193.64,193.64,68.46,66.11,70.81,NO_VALID_CANDIDATE
M1-T15215---- 08 005,Silica,NoOilDry,Silica_NoOilDry,183.36,183.36,183.36,68.41,66.06,70.76,NO_VALID_CANDIDATE
M1-T25045---- 08 004,Silica,NoOilDry,Silica_NoOilDry,152.15,152.15,152.15,62.39,60.03,64.74,NO_VALID_CANDIDATE
M1-C10430---- 05 005,CarbonBlack,NoOilDry,CarbonBlack_NoOilDry,219.95,219.95,219.95,29.37,27.61,31.14,NO_VALID_CANDIDATE
M1-C10430---- 05 005,CarbonBlack,NoOilDry,CarbonBlack_NoOilDry,214.1,214.1,214.1,28.89,27.13,30.66,NO_VALID_CANDIDATE
M1-C10430---- 05 005,CarbonBlack,NoOilDry,CarbonBlack_NoOilDry,208.65,208.65,208.65,28.97,27.2,30.73,NO_VALID_CANDIDATE
M1-T25045---- 08 004,Silica,NoOilDry,Silica_NoOilDry,167.61,167.61,167.61,60.09,57.73,62.44,NO_VALID_CANDIDATE
M1-T25045---- 08 004,Silica,NoOilDry,Silica_NoOilDry,144.72,144.72,144.72,64.18,61.82,66.53,NO_VALID_CANDIDATE
M1-T11923---- 09 002,Silica,NoOilDry,Silica_NoOilDry,175.79,175.79,175.79,57.28,54.93,59.64,NO_VALID_CANDIDATE
M1-T11923---- 09 002,Silica,NoOilDry,Silica_NoOilDry,166.71,166.71,166.71,57.74,55.39,60.09,NO_VALID_CANDIDATE
M1-T11923---- 09 002,Silica,NoOilDry,Silica_NoOilDry,164.44,164.44,164.44,57.77,55.42,60.12,NO_VALID_CANDIDATE
M1-T25045-M-- 01 001,Silica,NoOilDry,Silica_NoOilDry,246.08,246.08,246.08,57.23,54.88,59.58,NO_VALID_CANDIDATE
M1-R00218W1-- 01 003,CarbonBlack,NoOilDry,CarbonBlack_NoOilDry,157.98,157.98,152.64,,,,REJECTED
M1-R00218W1-- 01 003,CarbonBlack,NoOilDry,CarbonBlack_NoOilDry,153.45,153.45,152.64,,,,REJECTED
M1-R00218W1-- 01 003,CarbonBlack,NoOilDry,CarbonBlack_NoOilDry,154.77,154.77,152.64,,,,REJECTED
M1-T25045-M-- 01 001,Silica,NoOilDry,Silica_NoOilDry,230.12,230.12,230.12,59.5,57.15,61.85,NO_VALID_CANDIDATE
M1-T25045-M-- 01 001,Silica,NoOilDry,Silica_NoOilDry,233.08,213.89,233.08,59.56,57.21,61.91,RECOMMENDED
M1-T13127---- 19 001,Silica,NoOilDry,Silica_NoOilDry,252.93,252.93,252.93,64.81,62.46,67.16,NO_VALID_CANDIDATE
M1-T14885---- 17 002,Silica,NoOilDry,Silica_NoOilDry,136.77,136.77,136.77,65.61,63.26,67.96,NO_VALID_CANDIDATE
M1-T14885---- 17 002,Silica,NoOilDry,Silica_NoOilDry,138.66,138.66,138.66,65.66,63.31,68.01,REJECTED_NEGATIVE_OR_ZERO_SAVING
